DIV,WD,County,State,Station Name,DWR Abbrev,USGS Station ID,Data Source,Status,POR Start,POR End,UTM X,UTM Y,Location Accuracy,More Information,Location,Latitude,Longitude
2,67,,CO,ARF HEADGATE 162 (LOWER),ARF16TCO,,DWR,Active,2017,2018,687610,4219130,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8072&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ARF16TCO,"(38.055082, -103.431331)",38.055082,-103.431331
1,9,,CO,WARD DITCH,WRDDITCO,,DWR,Active,2017,2018,484279,4389177,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8073&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=WRDDITCO,"(39.652251, -105.183257)",39.652251,-105.183257
1,7,,CO,FARMERS HIGHLINE RETURN TO RALSTON CREEK FOR ARVADA,FHLARVCO,702326,DWR,Active,2017,2018,484665,4407857,GPS,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8210&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=FHLARVCO,"(39.820562, -105.179183)",39.820562,-105.179183
1,7,,CO,CHURCH DITCH RETURN TO RALSTON FOR NORTHGLENN,CHURALCO,,DWR,Active,2017,2018,483283,4407882,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8237&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CHURALCO,"(39.820761, -105.195332)",39.820761,-105.195332
2,67,,CO,ARF HEADGATE 259 (WHEATRIDGE),ARF259CO,,DWR,Active,2017,2018,709351,4224373,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8238&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ARF259CO,"(38.142956, -102.61104)",38.142956,-102.61104
2,17,,CO,"ARF HEADGATE 27 (BENTS FORT, LOWER)",ARF27LCO,,DWR,Active,2017,2018,637654,4212592,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8239&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ARF27LCO,"(38.050609, -103.431108)",38.050609,-103.431108
2,11,,CO,SOUTH ARKANSAS ABOVE NEWBY BORING DITCH,SOAKNBCO,35,UAWCD,Active,2018,2018,402424,4264154,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8242&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=SOAKNBCO,"(38.52043, -106.119318)",38.52043,-106.119318
3,20,,CO,BEAVER RESERVOIR OUTFALL,BEVOUTCO,,DWR,Active,2017,2018,352882.2,4162470,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8270&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BEVOUTCO,"(37.597561, -106.666538)",37.597561,-106.666538
,10,,CO,"CLOVER DITCH DRAIN AT QUINN ST NR WIDEFIELD, CO",,7105815,USGS,Historic,2017,2018,520197,4286810,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8311&sfType=StreamFlow&freq=Monthly&sTab=1&sValue=07105815,"(38.729722, -104.767639)",38.729722,-104.767639
2,13,,CO,W A BELL DITCH NO 1,BELLN1CO,,DWR,Active,2017,2018,456472,4219750,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8312&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BELLN1CO,"(38.124544, -105.496618)",38.124544,-105.496618
2,13,,CO,W A BELL DITCH NO 2,BELLN3CO,,DWR,Active,2017,2018,455040,4219790,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8313&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BELLN3CO,"(38.124834, -105.512958)",38.124834,-105.512958
2,10,,CO,OWEN AND HALL DITCH,OWHLDTCO,,DWR,Active,2018,2018,527152.6,4276767.4,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8333&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=OWHLDTCO,"(38.639038, -104.688014)",38.639038,-104.688014
1,7,,CO,COORS BYPASS GATE 2,COOBY2CO,,DWR,Active,2018,2018,499863.1,4407369.3,GPS,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8356&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=COOBY2CO,"(39.816306, -105.0016)",39.816306,-105.0016
2,79,,CO,SPANISH PEAKS FARM HEADGATE,SPJVHGCO,,DWR,Active,2018,2018,502827,4177104,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8374&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=SPJVHGCO,"(37.74122, -104.967913)",37.74122,-104.967913
