ce_annual_ndex,Active Accounting,Active Field Testing,None,Other,Reactive
1912,1,1,,1,1
1913,1,,,,1
1916,1,,,,1
1920,1,1,,,1
1921,,1,,,
1922,,1,,,1
1924,1,1,,,1
1925,1,,,,1
1926,1,,,,1
1927,1,1,,,1
1929,1,1,,,
1930,,,,1,
1931,,,1,,
1932,1,1,,,1
1934,1,1,,,1
1935,1,,,,1
1936,1,1,,,1
1938,,1,,,
1939,,1,,,1
1940,1,1,,,1
1941,1,,,,1
1942,1,,,,
1943,,,1,,
1944,1,1,,,
1945,,1,,,1
1946,1,,,,
1948,1,1,,1,1
1949,,,1,,
1950,1,,,,1
1951,1,1,,,1
1952,1,1,,,1
1953,,,,,1
1954,1,1,,,1
1955,1,1,,,1
1960,1,1,,,1
1963,1,1,,,1
1966,1,1,,,1
1967,,,,,1
1968,,,1,,
1970,1,,,,1
1971,1,1,,,1
1972,1,,,1,1
1975,,,,,1
1976,,,1,,
1980,,1,,1,1
1981,,,,,1
1982,,,,,1
1983,1,1,,,1
1984,,,1,,
1986,,,,,1
1987,1,1,,,1
1988,1,1,,,1
1989,1,1,,,1
1990,1,1,,1,1
1991,,,,,1
1993,1,1,,,1
1995,,,1,,
1997,1,1,,,1
1998,,,,,1
1999,1,1,,,
2000,1,,,,1
2001,1,1,,,1
2002,,1,,,
2003,1,,,,
2004,,1,,,
2005,1,1,,,1
2006,,,,,1
2007,1,1,,,1
2008,1,1,,,1
2009,,1,,,1
2010,1,,,,1
2011,1,1,,,1
2014,1,1,,,1
2015,1,,,,
2016,1,1,,,1
2017,,,,,1
2018,1,,,,1
2019,,,1,,
2020,1,1,,,1
2021,1,1,,,1
2022,1,1,,,1
2023,,,1,,
2024,1,,,,1
2025,1,,,,1
2026,1,1,,,1
2028,1,1,,,1
2029,1,,,,1
2030,,,1,,
2031,1,,,,1
2032,1,1,,,1
2033,1,,,,1
2034,1,,,1,1
2035,1,1,,,1
2037,1,1,,,1
2047,1,1,,,1
2048,,1,,1,1
2049,,,,,1
2050,1,1,,,1
2051,1,1,,,1
2052,,,,,1
2053,1,,,,1
2054,1,1,,,1
2056,1,1,,,1
2057,,,,,1
2058,,,1,,
2059,,,1,,
2060,1,1,,,
2061,,,,,1
2063,,,,,1
2064,1,1,,,1
2065,,,1,,
2066,1,,,1,1
2067,,,1,,
2068,,,1,,
2069,1,1,,,1
2070,1,,,,1
2071,1,,,,
2072,,,,,1
2073,1,1,,,1
2074,1,1,,,1
2075,1,1,,,1
2076,1,1,,,1
2077,1,1,,,1
2078,1,,,,1
2079,1,,,,1
2080,1,1,,,1
2081,1,1,,,1
2082,,,1,,
2085,1,1,,,1
2086,1,1,,,1
2087,1,1,,,1
2088,1,1,,,1
2089,1,,,,1
2091,1,1,,,1
2092,,,,,1
2093,,,1,,
2095,,,,1,
2100,,,1,,
2110,1,1,,,1
2111,1,,,,1
2117,1,,,,
2118,1,1,,,1
2119,,,1,,
2120,,1,,,
2121,1,1,,,
2122,,1,,,1
2123,1,1,,,1
2124,,,,,1
2125,,1,,1,1
2126,1,,,1,1
2127,,,1,,
2128,,,,,1
2129,,,1,,
2130,,,1,,
2131,1,,,,
2132,1,1,,,1
2133,,,,,1
2134,1,1,,,1
2135,,,,,1
2136,,,,,1
2139,1,,,,1
2152,,,,,1
2153,,,1,,
2154,1,,,,1
2155,1,,,,1
2156,1,,,,1
2157,1,1,,,1
2158,1,1,,,1
2159,1,1,,,1
2161,,,,,1
2162,1,1,,,1
2163,1,1,,,1
2164,,,1,,
2165,,,,1,
2166,,,,1,
2168,,,,,1
2169,,,,,1
2170,,,,,1
2171,,,,,1
2172,1,1,,,1
2173,1,1,,,1
2174,1,1,,,1
2175,,1,,,1
2176,,,1,,
2177,,,1,,
2178,,,1,,
2179,1,1,,,1
2181,1,1,,,1
2182,1,1,,,1
2184,,,,,1
2186,,,,,1
2187,,,,,1
2188,1,1,,,1
2189,,,,,1
2190,1,1,,,1
2191,,,,,1
2192,,1,,,1
2193,,,,1,
2194,,,,,1
2195,,1,,,1
2196,1,1,,,1
2197,,1,,,
2198,,,1,,
2199,1,,,,
2200,1,,,,1
2201,,1,,1,1
2204,1,,,1,1
2205,1,1,,,1
2206,1,,,,1
2207,1,1,,,1
2208,1,,,,1
2209,1,1,,,1
2210,1,1,,,1
2212,1,,,,1
2213,,,,,1
2214,1,,,,1
2215,1,1,,,1
2216,,,,,1
2217,,,,,1
2218,,,,,1
2219,,,,,1
2220,,,1,,
2221,1,,,,1
2222,1,,,,1
2223,1,1,,,1
2224,1,1,,,1
2226,1,,,,1
2228,1,1,,,1
2229,,,1,,
2230,,1,,,1
2231,,1,,,1
2232,,,1,,
