ce_annual_ndx,leak_detection_types
1912,Active use of Accounting methods to find leaks
1912,Other (specify)
1912,Active use of Field Testing methods to find leaks
1912,Reactive approach to leak detection
1913,Reactive approach to leak detection
1913,Active use of Accounting methods to find leaks
1916,Reactive approach to leak detection
1916,Active use of Accounting methods to find leaks
1920,Active use of Field Testing methods to find leaks
1920,Reactive approach to leak detection
1920,Active use of Accounting methods to find leaks
1921,Active use of Field Testing methods to find leaks
1922,Reactive approach to leak detection
1922,Active use of Field Testing methods to find leaks
1924,Reactive approach to leak detection
1924,Active use of Field Testing methods to find leaks
1924,Active use of Accounting methods to find leaks
1925,Active use of Accounting methods to find leaks
1925,Reactive approach to leak detection
1926,Active use of Accounting methods to find leaks
1926,Reactive approach to leak detection
1927,Active use of Field Testing methods to find leaks
1927,Active use of Accounting methods to find leaks
1927,Reactive approach to leak detection
1929,Active use of Accounting methods to find leaks
1929,Active use of Field Testing methods to find leaks
1930,Other (specify)
1931,NO LEAK DETECTION TYPES SPECIFIED
1932,Active use of Accounting methods to find leaks
1932,Active use of Field Testing methods to find leaks
1932,Reactive approach to leak detection
1934,Active use of Field Testing methods to find leaks
1934,Reactive approach to leak detection
1934,Active use of Accounting methods to find leaks
1935,Active use of Accounting methods to find leaks
1935,Reactive approach to leak detection
1936,Active use of Accounting methods to find leaks
1936,Active use of Field Testing methods to find leaks
1936,Reactive approach to leak detection
1938,Active use of Field Testing methods to find leaks
1939,Reactive approach to leak detection
1939,Active use of Field Testing methods to find leaks
1940,Reactive approach to leak detection
1940,Active use of Field Testing methods to find leaks
1940,Active use of Accounting methods to find leaks
1941,Active use of Accounting methods to find leaks
1941,Reactive approach to leak detection
1942,Active use of Accounting methods to find leaks
1943,NO LEAK DETECTION TYPES SPECIFIED
1944,Active use of Field Testing methods to find leaks
1944,Active use of Accounting methods to find leaks
1945,Reactive approach to leak detection
1945,Active use of Field Testing methods to find leaks
1946,Active use of Accounting methods to find leaks
1948,Other (specify)
1948,Active use of Field Testing methods to find leaks
1948,Active use of Accounting methods to find leaks
1948,Reactive approach to leak detection
1949,NO LEAK DETECTION TYPES SPECIFIED
1950,Reactive approach to leak detection
1950,Active use of Accounting methods to find leaks
1951,Reactive approach to leak detection
1951,Active use of Field Testing methods to find leaks
1951,Active use of Accounting methods to find leaks
1952,Active use of Field Testing methods to find leaks
1952,Active use of Accounting methods to find leaks
1952,Reactive approach to leak detection
1953,Reactive approach to leak detection
1954,Active use of Accounting methods to find leaks
1954,Reactive approach to leak detection
1954,Active use of Field Testing methods to find leaks
1955,Active use of Field Testing methods to find leaks
1955,Active use of Accounting methods to find leaks
1955,Reactive approach to leak detection
1960,Reactive approach to leak detection
1960,Active use of Field Testing methods to find leaks
1960,Active use of Accounting methods to find leaks
1963,Active use of Accounting methods to find leaks
1963,Reactive approach to leak detection
1963,Active use of Field Testing methods to find leaks
1966,Active use of Accounting methods to find leaks
1966,Reactive approach to leak detection
1966,Active use of Field Testing methods to find leaks
1967,Reactive approach to leak detection
1968,NO LEAK DETECTION TYPES SPECIFIED
1970,Active use of Accounting methods to find leaks
1970,Reactive approach to leak detection
1971,Active use of Accounting methods to find leaks
1971,Active use of Field Testing methods to find leaks
1971,Reactive approach to leak detection
1972,Other (specify)
1972,Reactive approach to leak detection
1972,Active use of Accounting methods to find leaks
1975,Reactive approach to leak detection
1976,NO LEAK DETECTION TYPES SPECIFIED
1980,Reactive approach to leak detection
1980,Active use of Field Testing methods to find leaks
1980,Other (specify)
1981,Reactive approach to leak detection
1982,Reactive approach to leak detection
1983,Active use of Field Testing methods to find leaks
1983,Active use of Accounting methods to find leaks
1983,Reactive approach to leak detection
1984,NO LEAK DETECTION TYPES SPECIFIED
1986,Reactive approach to leak detection
1987,Active use of Field Testing methods to find leaks
1987,Active use of Accounting methods to find leaks
1987,Reactive approach to leak detection
1988,Reactive approach to leak detection
1988,Active use of Accounting methods to find leaks
1988,Active use of Field Testing methods to find leaks
1989,Active use of Field Testing methods to find leaks
1989,Reactive approach to leak detection
1989,Active use of Accounting methods to find leaks
1990,Reactive approach to leak detection
1990,Other (specify)
1990,Active use of Accounting methods to find leaks
1990,Active use of Field Testing methods to find leaks
1991,Reactive approach to leak detection
1993,Active use of Field Testing methods to find leaks
1993,Active use of Accounting methods to find leaks
1993,Reactive approach to leak detection
1995,NO LEAK DETECTION TYPES SPECIFIED
1997,Active use of Accounting methods to find leaks
1997,Reactive approach to leak detection
1997,Active use of Field Testing methods to find leaks
1998,Reactive approach to leak detection
1999,Active use of Accounting methods to find leaks
1999,Active use of Field Testing methods to find leaks
2000,Active use of Accounting methods to find leaks
2000,Reactive approach to leak detection
2001,Active use of Accounting methods to find leaks
2001,Reactive approach to leak detection
2001,Active use of Field Testing methods to find leaks
2002,Active use of Field Testing methods to find leaks
2003,Active use of Accounting methods to find leaks
2004,Active use of Field Testing methods to find leaks
2005,Active use of Field Testing methods to find leaks
2005,Active use of Accounting methods to find leaks
2005,Reactive approach to leak detection
2006,Reactive approach to leak detection
2007,Reactive approach to leak detection
2007,Active use of Field Testing methods to find leaks
2007,Active use of Accounting methods to find leaks
2008,Active use of Field Testing methods to find leaks
2008,Active use of Accounting methods to find leaks
2008,Reactive approach to leak detection
2009,Active use of Field Testing methods to find leaks
2009,Reactive approach to leak detection
2010,Reactive approach to leak detection
2010,Active use of Accounting methods to find leaks
2011,Reactive approach to leak detection
2011,Active use of Field Testing methods to find leaks
2011,Active use of Accounting methods to find leaks
2014,Active use of Accounting methods to find leaks
2014,Active use of Field Testing methods to find leaks
2014,Reactive approach to leak detection
2015,Active use of Accounting methods to find leaks
2016,Active use of Field Testing methods to find leaks
2016,Active use of Accounting methods to find leaks
2016,Reactive approach to leak detection
2017,Reactive approach to leak detection
2018,Active use of Accounting methods to find leaks
2018,Reactive approach to leak detection
2019,NO LEAK DETECTION TYPES SPECIFIED
2020,Active use of Accounting methods to find leaks
2020,Reactive approach to leak detection
2020,Active use of Field Testing methods to find leaks
2021,Active use of Field Testing methods to find leaks
2021,Reactive approach to leak detection
2021,Active use of Accounting methods to find leaks
2022,Reactive approach to leak detection
2022,Active use of Field Testing methods to find leaks
