ce_annual_ndx,water_type_index,water_type,awwa_audit_method,audit_method_comment,audit_this_year,time_between_audits_years,audit_freq_remark
2205,1,Potable Treated,NO,,NO,,
2205,2,Non-potable Raw,NO,,NO,,
2205,3,Non-potable Re-use,NO,,NO,,
2200,1,Potable Treated,NO,"",NO,,
2200,2,Non-potable Raw,NO,,NO,,
2200,3,Non-potable Re-use,NO,,NO,,
2067,1,Potable Treated,NO,,NO,,
2228,1,Potable Treated,YES,"",YES,1,""
2228,3,Non-potable Re-use,NO,Production vs billed use,YES,1,""
2232,1,Potable Treated,NO,Sensus AMI and master meter comparison to what is delivered vs. water is billed.,NO,,
2210,1,Potable Treated,NO,,NO,,
2215,1,Potable Treated,YES,"",YES,2,""
2117,1,Potable Treated,YES,I am working on changing my accounting to mirror AWWA M36,YES,1,I do an audit on our use yearly. I am working to make my accounting methods like AWWA M36
2173,1,Potable Treated,NO,verification beween our readings and usage at filter plant,YES,1,""
1912,1,Potable Treated,YES,"",YES,1,""
1913,1,Potable Treated,YES,Compare monthly production versus billed and unbilled water,YES,,Monthly comparison
1916,1,Potable Treated,NO,,YES,1,""
1920,1,Potable Treated,NO,,NO,,
1921,1,Potable Treated,NO,Manual calculation,YES,0,Water Loss Calculated Annually
1922,1,Potable Treated,YES,"",YES,1,""
1924,1,Potable Treated,NO,System Loss = Total supply - misc. uses(consumer unmetered use+nonbillable lawn+sewer cleaning) - adjusted metered customer delivery ,YES,1,""
1925,1,Potable Treated,NO,,NO,,
1926,1,Potable Treated,NO,"Distributed minus metered billed minus metered unbilled (municipal parks, treatment plant housewater, hydrant flushing)",NO,2,""
1927,1,Potable Treated,NO,verification beween our readings and usage at filter plant,YES,1,""
1929,1,Potable Treated,NO,LHWD uses a combination of accounting and meter read comparison to determine system losses. Billed use is compared against distributed water at different points throughout the system on a monthly basis. See att,YES,1,Center for Resource Conservation under contract for annual audits for approx. 50 accounts
1930,1,Potable Treated,NO,Use water production verse billing and water deliveries,NO,4,""
1932,1,Potable Treated,NO,Difference between production & metered sales.,YES,1,Audit this year. Audit done once per year.
1934,1,Potable Treated,NO,,YES,1,Utilize AWWA WLCC Water Software
1935,1,Potable Treated,NO,Mass balance report based on production and billed water use,YES,1,""
1936,1,Potable Treated,YES,AWWA water audit spreadsheet,YES,1,""
1938,1,Potable Treated,YES,"",YES,,""
1939,1,Potable Treated,NO,Audits not performed,NO,,N/A - Audits not performed
1940,1,Potable Treated,NO,Sensus AMI and master meter comparison to what is delivered vs. what is billed.,NO,1,Sensus AMI and master meter comparison to what is delivered vs. what is billed.
1941,1,Potable Treated,YES,"",YES,0.3,AWWA audit tool run ~3 x per year
1942,1,Potable Treated,NO,,NO,,
1943,1,Potable Treated,NO,see attached- LTWD Supplemental Data,NO,,See attached- LTWD Supplemental Data
1944,1,Potable Treated,NO,"Water Loss Accounting worksheet is maintained which identifies billed authorized consumption, unbilled authorized consumption, apparent losses, and real losses",NO,,on-going with updates to water loss accounting
1945,1,Potable Treated,NO,Difference between Filter Plant metered water to District's billed water,YES,1,""
1946,1,Potable Treated,NO,Compare monthly metered water to monthly water treated at Water Treatment Plant,YES,,monthly reports
1948,1,Potable Treated,YES,"",YES,,""
1949,1,Potable Treated,NO,,NO,,
1950,1,Potable Treated,NO,,NO,,
1951,1,Potable Treated,YES,"",NO,,We use the AWWA M36 Manual to do partial system audits in most years
1952,1,Potable Treated,NO,,NO,,
1953,1,Potable Treated,NO,By measuring the difference between the amount of water entering the distribution sys. and the amount of water reaching the customers.  Method is described in decree.,YES,1,System loss is calculated annually and submitted to the State Eng. office
1954,1,Potable Treated,YES,"",YES,1,""
1955,1,Potable Treated,YES,"",YES,1,""
1960,1,Potable Treated,YES,"",YES,1,Annual review of accounting
1963,1,Potable Treated,NO,,NO,,
1966,1,Potable Treated,NO,,YES,1,SWD is completing first AWWA M36 audit in 2014
1967,1,Potable Treated,NO,Water balance using available usage data.,NO,,Water balance not on a defined frequency.
1968,1,Potable Treated,NO,Rolling 12 month water sales and production data,NO,,Auditsd are perrformed monthly based on audit method
1970,1,Potable Treated,NO,,NO,,
1971,1,Potable Treated,NO,simple audit formula of production minus metered - moving to AMI audits in 2014,YES,1,""
1972,1,Potable Treated,NO,Total water purchased from Treatment Plant minus water sold (this number comes from billing system report),YES,1,Our self-audit is done on an annual basis by subtracting billed/unbilled authorized water use from total annual water purchases from treatment plant
1975,1,Potable Treated,NO,None,NO,0,None
