ce_annual_ndx,water_type_index,water_type,billed_unmetered_use,unbilled_authorized_use,apparent_losses,real_losses,calculated_total,units
2205,1,Potable Treated,,,,,0,Acre-feet
2205,2,Non-potable Raw,,,,,0,Acre-feet
2205,3,Non-potable Re-use,,,,,0,Acre-feet
2200,1,Potable Treated,,,,,0,"Gallons, Millions"
2200,2,Non-potable Raw,,,,,0,Acre-feet
2200,3,Non-potable Re-use,,,,,0,Acre-feet
2067,1,Potable Treated,,,,,0,Unspecified
2228,1,Potable Treated,,,,,0,"Gallons, Thousands"
2228,3,Non-potable Re-use,,,,,0,"Gallons, Thousands"
2232,1,Potable Treated,0,7.57475,0,0,7.57475,Gallons
2210,1,Potable Treated,,,,,0,"Gallons, Millions"
2215,1,Potable Treated,0,9190380,0,93799100,102989000,Gallons
2117,1,Potable Treated,,,,,0,Acre-feet
2173,1,Potable Treated,,,,,0,Acre-feet
1912,1,Potable Treated,0,245008,36620,222141,503769,"Gallons, Thousands"
1913,1,Potable Treated,0,28,42,0,70,Gallons
1916,1,Potable Treated,,,,,0,"Gallons, Millions"
1920,1,Potable Treated,0,87,0,1.3,88.3,Acre-feet
1921,1,Potable Treated,0,454,0,1153,1607,Acre-feet
1922,1,Potable Treated,0,160000000,138055000,499435000,797490000,Gallons
1924,1,Potable Treated,0,59788,55576,209356,324720,"Gallons, Thousands"
1925,1,Potable Treated,,,,,0,"Gallons, Thousands"
1926,1,Potable Treated,0,28679,0,0,28679,"Gallons, Thousands"
1927,1,Potable Treated,3.109,0,0,0,3.109,Acre-feet
1929,1,Potable Treated,0,0,0,0,0,"Gallons, Millions"
1930,1,Potable Treated,,,,,0,CCF (100 cubic feet)
1932,1,Potable Treated,0.1,0.1,0.1,34.751,35.051,"Gallons, Millions"
1934,1,Potable Treated,0,3.245,26.971,162.518,192.734,"Gallons, Millions"
1935,1,Potable Treated,3708,12978,0,388198,404884,"Gallons, Thousands"
1936,1,Potable Treated,0,73413,43115,297493,414021,"Gallons, Thousands"
1938,1,Potable Treated,0,242.046,112.238,1344.53,1698.81,"Gallons, Thousands"
1939,1,Potable Treated,0,9.04,0,0,9.04,Acre-feet
1940,1,Potable Treated,0,5000000,5000000,18758400,28758400,Gallons
1941,1,Potable Treated,0,61.55,2265.65,6418.49,8745.69,Acre-feet
1942,1,Potable Treated,,,,,0,"Gallons, Millions"
1943,1,Potable Treated,,,,,0,"Gallons, Thousands"
1944,1,Potable Treated,0,9291.77,2954.08,59627.9,71873.8,"Gallons, Thousands"
1945,1,Potable Treated,,,,,0,"Gallons, Thousands"
1946,1,Potable Treated,0,0,281,0,281,"Gallons, Millions"
1948,1,Potable Treated,,,,,0,"Gallons, Thousands"
1949,1,Potable Treated,2.5,0,2,40,44.5,"Gallons, Thousands"
1950,1,Potable Treated,0,0,0,136865,136865,"Gallons, Thousands"
1951,1,Potable Treated,0,822,1034,3927,5783,Acre-feet
1952,1,Potable Treated,0,0,0,0,0,Gallons
