ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units
1912,1,Potable Treated,14612000,13954800,657200,"Gallons, Thousands"
1912,2,Non-potable Raw,358762,357741,1021,"Gallons, Thousands"
1912,3,Non-potable Re-use,344000,373375,-29375,"Gallons, Thousands"
1913,1,Potable Treated,645870000,600114000,45756000,Gallons
1916,1,Potable Treated,436.961,397.744,39.217,"Gallons, Millions"
1916,2,Non-potable Raw,117.45,117.445,0.00499725,"Gallons, Millions"
1916,3,Non-potable Re-use,204.68,200.836,3.84399,"Gallons, Millions"
1920,1,Potable Treated,6157,8853.36,-2696.36,Acre-feet
1920,2,Non-potable Raw,392,313.57,78.43,Acre-feet
1920,3,Non-potable Re-use,1919,1806,113,Acre-feet
1921,1,Potable Treated,14454,14454.2,-0.200195,Acre-feet
1922,1,Potable Treated,4237200000,3451360000,785840000,Gallons
1924,1,Potable Treated,2761350,2436630,324720,"Gallons, Thousands"
1924,2,Non-potable Raw,1233,1233,0,"Gallons, Thousands"
1925,1,Potable Treated,8.61071,8158020,-8158010,"Gallons, Thousands"
1925,2,Non-potable Raw,11994,11995,-1,Acre-feet
1926,1,Potable Treated,472067,434949,37118,"Gallons, Thousands"
1927,1,Potable Treated,9816.1,9816.1,0,Acre-feet
1929,1,Potable Treated,1338.26,1082.37,255.89,"Gallons, Millions"
1930,1,Potable Treated,758099,1376080,-617981,CCF (100 cubic feet)
1931,,**SERVICE CONNECTIONS NOT SET UP**,,,,
1932,1,Potable Treated,604,569.249,34.751,"Gallons, Millions"
1932,2,Non-potable Raw,0,0,0,Acre-feet
1934,1,Potable Treated,2240,2245.72,-5.71997,"Gallons, Millions"
1935,1,Potable Treated,4433930,4033830,400097,"Gallons, Thousands"
1935,2,Non-potable Raw,104185,104185,0,"Gallons, Thousands"
1935,3,Non-potable Re-use,81609,72872,8737,"Gallons, Thousands"
1936,1,Potable Treated,5432980,4965710,467274,"Gallons, Thousands"
1936,2,Non-potable Raw,81.6,81.6,0,Acre-feet
1936,3,Non-potable Re-use,422940,444862,-21922,"Gallons, Thousands"
1938,1,Potable Treated,57452200,55209200,2242970,"Gallons, Thousands"
1938,2,Non-potable Raw,1097420,1097410,10,"Gallons, Thousands"
1938,3,Non-potable Re-use,554090,554085,5,"Gallons, Thousands"
1939,1,Potable Treated,2924,2668.72,255.28,Acre-feet
1939,2,Non-potable Raw,,,,Acre-feet
1939,3,Non-potable Re-use,,,,Acre-feet
1940,1,Potable Treated,625281000,586044000,39237000,Gallons
1941,1,Potable Treated,17631,15531,2100,Acre-feet
1942,1,Potable Treated,1716.21,1519.7,196.51,"Gallons, Millions"
1943,1,Potable Treated,1849230,24295,1824940,"Gallons, Thousands"
1944,1,Potable Treated,753322,681448,71874.2,"Gallons, Thousands"
1945,1,Potable Treated,6464870,900655,5564220,"Gallons, Thousands"
1946,1,Potable Treated,1494,1010.66,483.34,"Gallons, Millions"
1946,2,Non-potable Raw,223,,223,"Gallons, Millions"
1948,1,Potable Treated,1443150,7,1443140,"Gallons, Thousands"
1949,1,Potable Treated,1036200,1515550,-479350,"Gallons, Thousands"
1949,2,Non-potable Raw,1532.5,,1532.5,Acre-feet
1949,3,Non-potable Re-use,0,,0,"Gallons, Thousands"
1950,1,Potable Treated,2426340,2289470,136865,"Gallons, Thousands"
1950,2,Non-potable Raw,89234,83777,5457,"Gallons, Thousands"
1951,1,Potable Treated,65750,59967,5783,Acre-feet
1951,2,Non-potable Raw,5567,5569,-2,Acre-feet
1951,3,Non-potable Re-use,3681,3680,1,Acre-feet
1952,1,Potable Treated,632600000,578688000,53912000,Gallons
1952,2,Non-potable Raw,0,,0,Gallons
1953,1,Potable Treated,1619650,1489240,130410,"Gallons, Thousands"
1953,2,Non-potable Raw,124.13,175.71,-51.58,Acre-feet
1954,1,Potable Treated,921.16,690.94,230.22,"Gallons, Millions"
1955,1,Potable Treated,1363.13,1235.94,127.19,"Gallons, Millions"
