"AREA(S)","TYPE","YEAR","Total Population",
"Adams","C","1870","0",
"Adams","C","1880","0",
"Adams","C","1890","0",
"Adams","C","1900","0",
"Adams","C","1910","8892",
"Adams","C","1920","14430",
"Adams","C","1930","20245",
"Adams","C","1940","22481",
"Adams","C","1950","40234",
"Adams","C","1960","120296",
"Adams","C","1970","185789",
"Adams","C","1980","245944",
"Adams","C","1990","265038",
"Adams","C","2000","363857",
"Adams","C","2010","441603",
"Alamosa","C","1870","0",
"Alamosa","C","1880","0",
"Alamosa","C","1890","0",
"Alamosa","C","1900","0",
"Alamosa","C","1910","0",
"Alamosa","C","1920","5148",
"Alamosa","C","1930","8602",
"Alamosa","C","1940","10484",
"Alamosa","C","1950","10531",
"Alamosa","C","1960","10000",
"Alamosa","C","1970","11422",
"Alamosa","C","1980","11799",
"Alamosa","C","1990","13617",
"Alamosa","C","2000","14966",
"Alamosa","C","2010","15445",
"Arapahoe","C","1870","6829",
"Arapahoe","C","1880","38644",
"Arapahoe","C","1890","132135",
"Arapahoe","C","1900","153017",
"Arapahoe","C","1910","10263",
"Arapahoe","C","1920","13768",
"Arapahoe","C","1930","22647",
"Arapahoe","C","1940","32150",
"Arapahoe","C","1950","52125",
"Arapahoe","C","1960","113426",
"Arapahoe","C","1970","162142",
"Arapahoe","C","1980","293292",
"Arapahoe","C","1990","391511",
"Arapahoe","C","2000","487967",
"Arapahoe","C","2010","572003",
"Archuleta","C","1870","0",
"Archuleta","C","1880","0",
"Archuleta","C","1890","826",
"Archuleta","C","1900","2117",
"Archuleta","C","1910","3302",
"Archuleta","C","1920","3590",
"Archuleta","C","1930","3204",
"Archuleta","C","1940","3806",
"Archuleta","C","1950","3030",
"Archuleta","C","1960","2629",
"Archuleta","C","1970","2733",
"Archuleta","C","1980","3664",
"Archuleta","C","1990","5345",
"Archuleta","C","2000","9898",
"Archuleta","C","2010","12084",
"Baca","C","1870","0",
"Baca","C","1880","0",
"Baca","C","1890","1479",
"Baca","C","1900","759",
"Baca","C","1910","2516",
"Baca","C","1920","8721",
"Baca","C","1930","10570",
"Baca","C","1940","6207",
"Baca","C","1950","7964",
"Baca","C","1960","6310",
"Baca","C","1970","5674",
"Baca","C","1980","5419",
"Baca","C","1990","4556",
"Baca","C","2000","4517",
"Baca","C","2010","3788",
"Bent","C","1870","592",
"Bent","C","1880","1654",
"Bent","C","1890","1313",
"Bent","C","1900","3049",
"Bent","C","1910","5043",
"Bent","C","1920","9705",
"Bent","C","1930","9134",
"Bent","C","1940","9653",
"Bent","C","1950","8775",
"Bent","C","1960","7419",
"Bent","C","1970","6493",
"Bent","C","1980","5945",
"Bent","C","1990","5048",
"Bent","C","2000","5998",
"Bent","C","2010","6499",
"Boulder","C","1870","1939",
"Boulder","C","1880","9723",
"Boulder","C","1890","14082",
"Boulder","C","1900","21544",
"Boulder","C","1910","30330",
"Boulder","C","1920","31881",
"Boulder","C","1930","32456",
"Boulder","C","1940","37438",
"Boulder","C","1950","48296",
"Boulder","C","1960","74254",
"Boulder","C","1970","131889",
"Boulder","C","1980","189625",
"Boulder","C","1990","225339",
"Boulder","C","2000","291288",
"Boulder","C","2010","294567",
"Broomfield","C","1870","0",
"Broomfield","C","1880","0",
"Broomfield","C","1890","0",
"Broomfield","C","1900","0",
"Broomfield","C","1910","0",
"Broomfield","C","1920","0",
"Broomfield","C","1930","0",
"Broomfield","C","1940","0",
"Broomfield","C","1950","0",
"Broomfield","C","1960","0",
"Broomfield","C","1970","0",
"Broomfield","C","1980","0",
"Broomfield","C","1990","0",
"Broomfield","C","2000","0",
"Broomfield","C","2010","55889",
"Chaffee","C","1870","0",
"Chaffee","C","1880","6512",
"Chaffee","C","1890","6612",
"Chaffee","C","1900","7085",
"Chaffee","C","1910","7622",
"Chaffee","C","1920","7753",
"Chaffee","C","1930","8126",
"Chaffee","C","1940","8109",
"Chaffee","C","1950","7168",
"Chaffee","C","1960","8298",
"Chaffee","C","1970","10162",
"Chaffee","C","1980","13227",
"Chaffee","C","1990","12684",
"Chaffee","C","2000","16242",
"Chaffee","C","2010","17809",
"Cheyenne","C","1870","0",
"Cheyenne","C","1880","0",
"Cheyenne","C","1890","534",
"Cheyenne","C","1900","501",
"Cheyenne","C","1910","3687",
"Cheyenne","C","1920","3746",
"Cheyenne","C","1930","3723",
"Cheyenne","C","1940","2964",
"Cheyenne","C","1950","3453",
"Cheyenne","C","1960","2789",
"Cheyenne","C","1970","2396",
"Cheyenne","C","1980","2153",
"Cheyenne","C","1990","2396",
"Cheyenne","C","2000","2231",
"Cheyenne","C","2010","1836",
"Clear Creek","C","1870","1596",
"Clear Creek","C","1880","7823",
"Clear Creek","C","1890","7184",
"Clear Creek","C","1900","7082",
"Clear Creek","C","1910","5001",
"Clear Creek","C","1920","2891",
"Clear Creek","C","1930","2155",
"Clear Creek","C","1940","3784",
"Clear Creek","C","1950","3289",
"Clear Creek","C","1960","2793",
"Clear Creek","C","1970","4819",
"Clear Creek","C","1980","7308",
"Clear Creek","C","1990","7619",
"Clear Creek","C","2000","9322",
"Clear Creek","C","2010","9088",
"Conejos","C","1870","2504",
"Conejos","C","1880","5605",
"Conejos","C","1890","7193",
"Conejos","C","1900","8794",
"Conejos","C","1910","11285",
"Conejos","C","1920","8416",
"Conejos","C","1930","9803",
"Conejos","C","1940","11648",
"Conejos","C","1950","10171",
"Conejos","C","1960","8428",
"Conejos","C","1970","7846",
"Conejos","C","1980","7794",
"Conejos","C","1990","7453",
"Conejos","C","2000","8400",
"Conejos","C","2010","8256",
"Costilla","C","1870","1779",
"Costilla","C","1880","2879",
"Costilla","C","1890","3491",
"Costilla","C","1900","4832",
"Costilla","C","1910","5498",
