"AREA(S)","TYPE","YEAR","Total Population",
"Aguilar","M","1870","0",
"Aguilar","M","1880","0",
"Aguilar","M","1890","0",
"Aguilar","M","1900","698",
"Aguilar","M","1910","858",
"Aguilar","M","1920","1236",
"Aguilar","M","1930","1383",
"Aguilar","M","1940","1397",
"Aguilar","M","1950","1038",
"Aguilar","M","1960","777",
"Aguilar","M","1970","699",
"Aguilar","M","1980","624",
"Aguilar","M","1990","520",
"Aguilar","M","2000","593",
"Aguilar","M","2010","538",
"Akron","M","1870","0",
"Akron","M","1880","0",
"Akron","M","1890","559",
"Akron","M","1900","351",
"Akron","M","1910","647",
"Akron","M","1920","1401",
"Akron","M","1930","1135",
"Akron","M","1940","1417",
"Akron","M","1950","1605",
"Akron","M","1960","1890",
"Akron","M","1970","1775",
"Akron","M","1980","1716",
"Akron","M","1990","1599",
"Akron","M","2000","1711",
"Akron","M","2010","1702",
"Alamosa","M","1870","0",
"Alamosa","M","1880","802",
"Alamosa","M","1890","973",
"Alamosa","M","1900","1141",
"Alamosa","M","1910","3013",
"Alamosa","M","1920","3171",
"Alamosa","M","1930","5107",
"Alamosa","M","1940","5613",
"Alamosa","M","1950","5354",
"Alamosa","M","1960","6205",
"Alamosa","M","1970","6985",
"Alamosa","M","1980","6830",
"Alamosa","M","1990","7579",
"Alamosa","M","2000","7960",
"Alamosa","M","2010","8780",
"Alma","M","1870","0",
"Alma","M","1880","446",
"Alma","M","1890","367",
"Alma","M","1900","297",
"Alma","M","1910","301",
"Alma","M","1920","127",
"Alma","M","1930","110",
"Alma","M","1940","469",
"Alma","M","1950","149",
"Alma","M","1960","107",
"Alma","M","1970","73",
"Alma","M","1980","132",
"Alma","M","1990","148",
"Alma","M","2000","179",
"Alma","M","2010","270",
"Altman","M","1870","0",
"Altman","M","1880","0",
"Altman","M","1890","0",
"Altman","M","1900","659",
"Altman","M","1910","145",
"Altman","M","1920","0",
"Altman","M","1930","0",
"Altman","M","1940","0",
"Altman","M","1950","0",
"Altman","M","1960","0",
"Altman","M","1970","0",
"Altman","M","1980","0",
"Altman","M","1990","0",
"Altman","M","2000","0",
"Altman","M","2010","0",
"Anaconda","M","1870","0",
"Anaconda","M","1880","0",
"Anaconda","M","1890","0",
"Anaconda","M","1900","1059",
"Anaconda","M","1910","164",
"Anaconda","M","1920","0",
"Anaconda","M","1930","0",
"Anaconda","M","1940","0",
"Anaconda","M","1950","0",
"Anaconda","M","1960","0",
"Anaconda","M","1970","0",
"Anaconda","M","1980","0",
"Anaconda","M","1990","0",
"Anaconda","M","2000","0",
"Anaconda","M","2010","0",
"Animas City","M","1870","0",
"Animas City","M","1880","285",
"Animas City","M","1890","180",
"Animas City","M","1900","154",
"Animas City","M","1910","200",
"Animas City","M","1920","250",
"Animas City","M","1930","457",
"Animas City","M","1940","712",
"Animas City","M","1950","0",
"Animas City","M","1960","0",
"Animas City","M","1970","0",
"Animas City","M","1980","0",
"Animas City","M","1990","0",
"Animas City","M","2000","0",
"Animas City","M","2010","0",
"Antonito","M","1870","0",
"Antonito","M","1880","0",
"Antonito","M","1890","315",
"Antonito","M","1900","347",
"Antonito","M","1910","681",
"Antonito","M","1920","946",
"Antonito","M","1930","858",
"Antonito","M","1940","1220",
"Antonito","M","1950","1255",
"Antonito","M","1960","1045",
"Antonito","M","1970","1113",
"Antonito","M","1980","1103",
"Antonito","M","1990","875",
"Antonito","M","2000","873",
"Antonito","M","2010","781",
"Arriba","M","1870","0",
"Arriba","M","1880","0",
"Arriba","M","1890","0",
"Arriba","M","1900","0",
"Arriba","M","1910","0",
"Arriba","M","1920","334",
"Arriba","M","1930","337",
"Arriba","M","1940","286",
"Arriba","M","1950","367",
