ce_annual_ndx,pop_served,pop_served_source,transient_pop_served,transient_pop_type_desc,transient_pop_source,remark
1936,117011,"Official Westminster, Shaw Heights, out of City customers",,- None Specified -,"",""
1944,17365,calculated by # sf & mf accts * 2.6 per acct,0,- None Specified -,"",""
1968,26629,Community Development Department data based on 2010 Census plus residential growth,0,- None Specified -,None,Not significant
1990,35789,DRCOG,0,- None Specified -,none,na
1948,35789,DRCOG,,- None Specified -,na,na
2007,27516,2010 Census,0,- None Specified -,"",""
1913,8700,CDPHE PWSID CO0142200,,- None Specified -,"",""
1967,93000,"Estimate for  inside City, outside taps, and Town of Lyons",,- None Specified -,"",""
1926,4980,City of Steamboat Springs data (4230 residents+ estimated 750 non-transients (employees not living in District),12000,Seasonal,estimate,principally ski resort visitors Dec 20-Apr 10 and second homeowners
1945,19427,"",,- None Specified -,"",""
1938,1161000,Denver Regional Council of Governments population by Traffic Analysis Zone (TAZ). TAZ population is processed in a GIS to the boundaries of the Combined Service Area,,- None Specified -,"",""
1931,30255,2010 Census,,Annual,"",""
1970,11451,United States Census Bureau 2012 Estimate,0,- None Specified -,unknown,""
1924,53958,"Active Taps x Single Family Equivalent  (1,885 Commercial/Multi-Family taps x 4.13 SFE + 14,419 Residential x 3.20 SFE)",0,- None Specified -,"",""
1929,19075,LHWD 2013 Customer Profile Report,,Other (describe),"",St. Vrain State Park has master meter service throughout the year but from March-October serves 87 campsites during camping season
1916,12483,US Census Bureau,,- None Specified -,"",""
1950,57909,Estimated from number of accounts & estimate per account population,,- None Specified -,"",""
1932,5040,2010 Census  HDR 2013 Second Plant Feasibility Study,25365,Other (describe),2010 Census  HDR 2013 Second Plant Feasibility Study Avg Daily  ,Overnight 16250 Not Overnight 9115 Avg Daily 
1954,5289,SDO- Estimate of  Total Population by Municipality for Vail 7-1-2013 Total Population data captured.,10549,Seasonal,"Average Transient Pop Served= avg Overnight Visitors (8,900) + 2nd Homeowners= (10,549). Peak Transient Pop Served= Vail Lodging Bed Base (18,465) + 2nd Homes (1,649) = 20,114.",Average Occupancy Rates based on Summer & Winter Seasons
1955,39922,"SDO- Estimates of Total Population by Municipality & Towns for; Avon, Edwards, & Unicorp. Eagle County, 7-1-2013 Total Population data captured.",7997,Seasonal,"Average Transient Pop Served= avg Overnight Visitors (4,060) + 2nd Homeowners (3,937)= (7,997). Peak Transient Pop Served= UERWA Lodging Bed Base (11,278) + 2nd Homes (3,937) = 15,215.",Average Occupancy Rates based on Summer & Winter Seasons
1930,16161,2010 Census,0,- None Specified -,District Staff,District Staff
2031,8700,CDPHE PWSID CO0142200,,- None Specified -,"",""
1963,19074,US Census 2013 Estimate,,- None Specified -,"",""
1935,98311,Number of housing units for single family residential and multi-family residential multiplied by average number of occupants for each type based on 2000 US Census data.,,- None Specified -,"",""
1951,458716,2013 Water Units Distribution,,- None Specified -,"",""
2029,12483,US Census Bureau,,- None Specified -,"",""
1927,43000,"",,- None Specified -,"",""
1921,109745,US Census Bureau,0,- None Specified -,"",""
1966,18500,Pikes Peak Area Council of Governments,4500,Other (describe),district records,military
1939,20720,Town of Erie,0,- None Specified -,"",""
1971,129751,GPCD study for 2013 - Water Resources Division Combined Charts 2013.xls,,- None Specified -,"",""
1940,11321,"",6737,- None Specified -,"Based of our total number of hotel rooms, businesses, and schools.",""
1991,7689,Census Data,,- None Specified -,"",""
1952,14561,"number of residential taps 5,276 x 2.76 = 14,561",0,- None Specified -,"",""
1934,54238,"Town of Castle Rock, Development Services",,- None Specified -,"",""
1922,72846,Loveland 2013 Annual Data and Assumptions Report,,- None Specified -,"",""
1982,31000,ACWWA Master Plan 2011,25000,Other (describe),ACWWA Master Plan 2011,"Work in service area, not full time residents "
1984,7860,www.city-data.com/city/Lamar-Colorado.html,,- None Specified -,"",""
2171,25688,"U.S. Census Bureau, Esri Forecasts within water service area",,- None Specified -,"",""
