ce_annual_ndx,ce_index,water_provider,bndss_basin_index,basin,bndss_type_index,type,county,provider_comments,report_year,report_status,bndss_id
1936,760,"Westminster, City of",4,Metro,1,Utility,"Adams, Jefferson","",2013,Submitted,Westminster
1944,762,Widefield Water and Sanitation District,1,Arkansas,5,Company,El Paso,"",2013,Submitted,WidefieldWSD
1968,609,"Lafayette, City of",7,South Platte,1,Utility,Boulder,"",2013,Submitted,Lafayette
1990,663,"Northglenn, City of",7,South Platte,1,Utility,Adams,"Water treatment in Adams County, wastewater treatment in Weld County",2014,Submitted,Northglenn
1948,663,"Northglenn, City of",7,South Platte,1,Utility,Adams,"Water treatment in Adams County, wastewater treatment in Weld County",2013,Submitted,Northglenn
2007,573,"Grand Junction, City of",3,Gunnison,1,Utility,Mesa,City of Grand Junction,2014,Submitted,GrandJunction
1913,499,"Cortez, City of",8,Southwest,1,Utility,Montezuma,"",2013,Submitted,Cortez
1967,623,"Longmont, City of",7,South Platte,1,Utility,Boulder,"",2013,Submitted,Longmont
1926,647,Mount Werner Water and Sanitation District,10,Yampa/White,2,Title 32,Routt,MWWD operates raw water supply and treatment for MWWD and City of Steamboat Springs. ,2013,Submitted,MtWernerWSD
1945,534,East Larimer County Water District,7,South Platte,2,Title 32,"",,2013,Submitted,ELCO
1938,513,Denver Water,4,Metro,1,Utility,"Adams, Arapahoe, Denver, Douglas, Jefferson",These are counties in Denver Water's service area. Some counties are only partially in DW's service area.,2013,Submitted,DenverWater
1931,543,"Englewood, City of",7,South Platte,1,Utility,Arapahoe,"",2013,In Progress,Englewood
1970,559,"Fort Morgan, City of",7,South Platte,1,Utility,Morgan,"",2013,Submitted,FtMorgan
1924,714,South Adams County Water and Sanitation District,4,Metro,2,Title 32,Adams,"",2013,Submitted,SAdamsCoWSD
1929,617,Left Hand Water District,7,South Platte,2,Title 32,"Boulder, Weld","",2013,Submitted,LHWD
1916,734,"Superior, Town of",7,South Platte,1,Utility,Boulder,"",2013,Submitted,Superior
1950,530,East Cherry Creek Valley Water and Sanitation District,4,Metro,2,Title 32,Arapahoe,"",2013,Submitted,ECherryCrkVlyWSD
1932,458,"Breckenridge, Town of",2,Colorado,1,Utility,Summit,"",2013,Submitted,Breckenridge
1954,526,Eagle River Water and Sanitation District,2,Colorado,2,Title 32,Eagle,Reported Data for: Vail Water Sub-district,2013,Submitted,EagleRiverWSD
1955,789,Upper Eagle Regional Water Authority,2,Colorado,3,Authority,Eagle,"Unincorporated Eagle County; (Eagle-Vail, Beaver Creek, Arrowhead, Cordillera, Berry Creek, Bachelor Gulch, Traer Creek), Edwards, Town of Avon.",2013,Submitted,UpEagleRivWA
1930,481,Cherokee Metropolitan District,1,Arkansas,2,Title 32,El Paso,"",2013,Submitted,CherokeeMD
2031,499,"Cortez, City of",8,Southwest,1,Utility,Montezuma,"",2014,Submitted,Cortez
1963,626,"Louisville, City of",7,South Platte,1,Utility,Boulder,"",2013,Submitted,Louisville
1935,475,Centennial Water and Sanitation Distrtict,7,South Platte,1,Utility,Douglas,"",2013,Submitted,CentennialWSD
1951,874,Colorado Springs Utilities,1,Arkansas,1,Utility,El Paso,"",2013,Submitted,CSU
2029,734,"Superior, Town of",7,South Platte,1,Utility,Boulder,"",2014,Submitted,Superior
1927,478,Central Weld County Water District,7,South Platte,1,Utility,Weld,"",2013,Submitted,CWCWD
1921,434,"Arvada, City of",4,Metro,1,Utility,"Adams, Jefferson","",2013,Submitted,Arvada
1966,708,Security Water and Sanitation District,1,Arkansas,2,Title 32,El Paso,"",2013,Submitted,SecurityWSD
1939,544,"Erie, Town of",7,South Platte,1,Utility,"Boulder, Weld","",2013,Submitted,Erie
1971,556,"Fort Collins, City of",7,South Platte,1,Utility,Larimer,"",2013,Submitted,FtCollins
1940,552,"Firestone, Town of",7,South Platte,1,Utility,Weld,"",2013,Submitted,Firestone
1991,558,"Fort Lupton, City of",7,South Platte,1,Utility,Weld,"",2014,Submitted,FtLupton
1952,768,"Windsor, Town of",7,South Platte,1,Utility,"Larimer, Weld","",2013,Submitted,Windsor
1934,473,"Castle Rock, Town of",7,South Platte,1,Utility,Douglas,"",2013,Submitted,CastleRock
1922,894,Loveland Water and Power,7,South Platte,1,Utility,Larimer,"",2013,Submitted,Loveland
1982,432,Arapahoe County Water and Wastewater Authority,4,Metro,3,Authority,"Arapahoe, Douglas, Elbert","",2013,Submitted,ACWWA
1984,615,"Lamar, Town of",1,Arkansas,1,Utility,Prowers,"",2014,Submitted,Lamar
2171,560,"Fountain, City of",1,Arkansas,1,Utility,"",,2016,Submitted,FountainUtilities
1989,478,Central Weld County Water District,7,South Platte,1,Utility,Weld,"",2014,Submitted,CWCWD
1941,456,"Boulder, City of",7,South Platte,1,Utility,Boulder,"",2013,Submitted,Boulder
2002,513,Denver Water,4,Metro,1,Utility,"Adams, Arapahoe, Denver, Douglas, Jefferson",These are counties in Denver Water's service area. Some counties are only partially in DW's service area.,2014,Submitted,DenverWater
2006,714,South Adams County Water and Sanitation District,4,Metro,2,Title 32,Adams,"",2014,Submitted,SAdamsCoWSD
1986,729,"Sterling, City of",7,South Platte,1,Utility,Logan,"",2014,In Progress,Sterling
1981,432,Arapahoe County Water and Wastewater Authority,4,Metro,3,Authority,"Arapahoe, Douglas, Elbert","",2014,Submitted,ACWWA
1983,473,"Castle Rock, Town of",7,South Platte,1,Utility,Douglas,"",2014,Submitted,CastleRock
2005,762,Widefield Water and Sanitation District,1,Arkansas,5,Company,El Paso,"",2014,Submitted,WidefieldWSD
2022,475,Centennial Water and Sanitation Distrtict,7,South Platte,1,Utility,Douglas,"",2014,Submitted,CentennialWSD
1980,863,"Aurora, City of",4,Metro,1,Utility,"Adams, Arapahoe, Douglas","",2014,Submitted,Aurora
2032,789,Upper Eagle Regional Water Authority,2,Colorado,3,Authority,Eagle,"Unincorporated Eagle County; (Eagle-Vail, Beaver Creek, Arrowhead, Cordillera, Berry Creek, Bachelor Gulch, Traer Creek), Edwards, Town of Avon.",2014,Submitted,UpEagleRivWA
1987,741,"Trinidad, City of",1,Arkansas,1,Utility,Las Animas,"",2014,Submitted,Trinidad
1988,458,"Breckenridge, Town of",2,Colorado,1,Utility,Summit,"",2014,Submitted,Breckenridge
1995,661,North Weld County Water District,7,South Platte,2,Title 32,"Larimer, Weld","",2014,Submitted,NWCWD
1960,899,"Thornton, City of",4,Metro,1,Utility,Adams,"",2013,Submitted,Thornton
1997,899,"Thornton, City of",4,Metro,1,Utility,Adams,"",2014,Submitted,Thornton
2014,760,"Westminster, City of",4,Metro,1,Utility,"Adams, Jefferson","",2014,Submitted,Westminster
2035,557,Fort Collins-Loveland Water District,7,South Platte,2,Title 32,Larimer,Larimer and Weld Counties,2013,Submitted,FCLWD
2037,534,East Larimer County Water District,7,South Platte,2,Title 32,"",,2014,Submitted,ELCO
2021,557,Fort Collins-Loveland Water District,7,South Platte,2,Title 32,Larimer,Larimer and Weld Counties,2014,Submitted,FCLWD
2024,543,"Englewood, City of",7,South Platte,1,Utility,Arapahoe,"",2014,Submitted,Englewood
2004,434,"Arvada, City of",4,Metro,1,Utility,"Adams, Jefferson","",2014,Submitted,Arvada
1998,623,"Longmont, City of",7,South Platte,1,Utility,Boulder,"",2014,Submitted,Longmont
2025,456,"Boulder, City of",7,South Platte,1,Utility,Boulder,"",2014,Submitted,Boulder
2026,708,Security Water and Sanitation District,1,Arkansas,2,Title 32,El Paso,"",2014,Submitted,SecurityWSD
2030,609,"Lafayette, City of",7,South Platte,1,Utility,Boulder,"",2014,Submitted,Lafayette
1949,435,"Aspen, City of",2,Colorado,1,Utility,Pitkin,"",2013,Submitted,Aspen
1942,573,"Grand Junction, City of",3,Gunnison,1,Utility,Mesa,City of Grand Junction,2013,Submitted,GrandJunction
2173,478,Central Weld County Water District,7,South Platte,1,Utility,Weld,"",2015,Submitted,CWCWD
2034,681,Parker Water and Sanitation District,4,Metro,2,Title 32,Douglas,"",2014,In Progress,ParkerWSD
2050,661,North Weld County Water District,7,South Platte,2,Title 32,"Larimer, Weld","",2013,Submitted,NWCWD
1943,619,Little Thompson Water District,7,South Platte,1,Utility,"Boulder, Larimer, Weld","",2013,Submitted,LTWD
2018,740,Tri-County Water Conservancy District,3,Gunnison,4,District,"Delta, Montrose, Ouray","",2014,Submitted,Tri-County
1946,524,"Durango, City of",8,Southwest,1,Utility,La Plata,"",2013,Submitted,Durango
1993,571,"Golden, City of",4,Metro,1,Utility,Jefferson,"",2014,Submitted,Golden
1953,459,"Brighton, City of",7,South Platte,1,Utility,"Adams, Weld",South Platte and Beebe Draw Basins,2013,Submitted,Brighton
2033,642,"Montrose, City of",3,Gunnison,1,Utility,Montrose,"",2014,Submitted,Montrose
2003,726,Saint Charles Mesa Water District,1,Arkansas,2,Title 32,Pueblo,"",2014,Submitted,StCharlesMesaWD
1920,463,"Broomfield, City and County of",2,Colorado,1,Utility,"Boulder, Broomfield, Jefferson","RM Metropolitan Airport (JeffCo), Mile Water District (Adams), Broomfield",2013,Submitted,Broomfield
2020,463,"Broomfield, City and County of",2,Colorado,1,Utility,"Boulder, Broomfield, Jefferson","RM Metropolitan Airport (JeffCo), Mile Water District (Adams), Broomfield",2014,Submitted,Broomfield
2017,459,"Brighton, City of",7,South Platte,1,Utility,"Adams, Weld",South Platte and Beebe Draw Basins,2014,Submitted,Brighton
2019,619,Little Thompson Water District,7,South Platte,1,Utility,"Boulder, Larimer, Weld","",2014,Submitted,LTWD
2000,647,Mount Werner Water and Sanitation District,10,Yampa/White,2,Title 32,Routt,MWWD operates raw water supply and treatment for MWWD and City of Steamboat Springs. ,2014,Submitted,MtWernerWSD
1975,642,"Montrose, City of",3,Gunnison,1,Utility,Montrose,"",2013,Submitted,Montrose
1925,692,"Pueblo, Board of Water Works of",1,Arkansas,1,Utility,Pueblo,"",2013,Submitted,PuebloBWW
2010,692,"Pueblo, Board of Water Works of",1,Arkansas,1,Utility,Pueblo,"",2014,Submitted,PuebloBWW
2178,714,South Adams County Water and Sanitation District,4,Metro,2,Title 32,Adams,"",2017,Submitted,SAdamsCoWSD
1912,863,"Aurora, City of",4,Metro,1,Utility,"Adams, Arapahoe, Douglas","",2013,Submitted,Aurora
2016,768,"Windsor, Town of",7,South Platte,1,Utility,"Larimer, Weld","",2014,Submitted,Windsor
2077,556,"Fort Collins, City of",7,South Platte,1,Utility,Larimer,"",2015,Submitted,FtCollins
2058,768,"Windsor, Town of",7,South Platte,1,Utility,"Larimer, Weld","",2015,Submitted,Windsor
