ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units,,,dwater,mwater,lwater,,325850.943,1
2162,1,Potable Treated,,,,*UNSPECIFIED*,,,0,0,0,,gal,acre feet
1920,1,Potable Treated,6157,8853.36,-2696.36,Acre-feet,,,2006264.256,2884875.705,-878611.4487,,748.052,1
1920,2,Non-potable Raw,392,313.57,78.43,Acre-feet,,,127733.5697,102177.0802,25556.48946,,gal,ccf
1920,3,Non-potable Re-use,1919,1806,113,Acre-feet,,,625307.9596,588486.8031,36821.15656,,,
1921,1,Potable Treated,14454,14454.2,-0.200195,Acre-feet,,,4709849.53,4709914.7,-65.23372953,,,
1925,2,Non-potable Raw,11994,11995,-1,Acre-feet,,,3908256.21,3908582.061,-325.850943,,,
1927,1,Potable Treated,9816.1,9816.1,0,Acre-feet,,,3198585.442,3198585.442,0,,,
1932,2,Non-potable Raw,0,0,0,Acre-feet,,,0,0,0,,,
1936,2,Non-potable Raw,81.6,81.6,0,Acre-feet,,,26589.43695,26589.43695,0,,,
1939,1,Potable Treated,2924,2668.72,255.28,Acre-feet,,,952788.1573,869604.9286,83183.22873,,,
1939,2,Non-potable Raw,,,,Acre-feet,,,0,0,0,,,
1939,3,Non-potable Re-use,,,,Acre-feet,,,0,0,0,,,
1941,1,Potable Treated,17631,15531,2100,Acre-feet,,,5745077.976,5060790.996,684286.9803,,,
1949,2,Non-potable Raw,1532.5,,1532.5,Acre-feet,,,499366.5701,0,499366.5701,,,
1951,1,Potable Treated,65750,59967,5783,Acre-feet,,,21424699.5,19540303.5,1884396.003,,,
1951,2,Non-potable Raw,5567,5569,-2,Acre-feet,,,1814012.2,1814663.902,-651.701886,,,
1951,3,Non-potable Re-use,3681,3680,1,Acre-feet,,,1199457.321,1199131.47,325.850943,,,
1953,2,Non-potable Raw,124.13,175.71,-51.58,Acre-feet,,,40447.87755,57255.26919,-16807.39164,,,
1968,2,Non-potable Raw,175.42,175.42,0,Acre-feet,,,57160.77242,57160.77242,0,,,
1970,2,Non-potable Raw,513,513.5,-0.5,Acre-feet,,,167161.5338,167324.4592,-162.9254715,,,
1981,1,Potable Treated,3040,2621.47,418.53,Acre-feet,,,990586.8667,854208.4715,136378.3952,,,
1981,2,Non-potable Raw,557.24,159.39,397.85,Acre-feet,,,181577.1795,51937.3818,129639.7977,,,
1981,3,Non-potable Re-use,344.63,344.62,0.0100098,Acre-feet,,,112298.0105,112294.752,3.261702769,,,
1982,1,Potable Treated,3068,2574.79,493.21,Acre-feet,,,999710.6931,838997.7495,160712.9436,,,
1982,2,Non-potable Raw,294.1,140.87,153.23,Acre-feet,,,95832.76234,45902.62234,49930.14,,,
1982,3,Non-potable Re-use,320,319.89,0.109985,Acre-feet,,,104272.3018,104236.4582,35.83871597,,,
1988,2,Non-potable Raw,0,174.82,-174.82,Acre-feet,,,0,56965.26186,-56965.26186,,,
1989,1,Potable Treated,9816.1,9816.1,0,Acre-feet,,,3198585.442,3198585.442,0,,,
1993,1,Potable Treated,2437,2658.97,-221.97,Acre-feet,,,794098.7481,866427.8819,-72329.13382,,,
1993,2,Non-potable Raw,353,82.73,270.27,Acre-feet,,,115025.3829,26957.64851,88067.73436,,,
1995,1,Potable Treated,5108,4675.15,432.85,Acre-feet,,,1664446.617,1523402.036,141044.5807,,,
1995,2,Non-potable Raw,50,46.64,3.36,Acre-feet,,,16292.54715,15197.68798,1094.859168,,,
2002,1,Potable Treated,177563,169787,7776,Acre-feet,,,57859070.99,55325254.06,2533816.933,,,
2002,2,Non-potable Raw,1606,1604,2,Acre-feet,,,523316.6145,522664.9126,651.701886,,,
2002,3,Non-potable Re-use,1898,1897,1,Acre-feet,,,618465.0898,618139.2389,325.850943,,,
2003,1,Potable Treated,2089,1836,253,Acre-feet,,,680702.6199,598262.3313,82440.28858,,,
2004,1,Potable Treated,14987,14650,337,Acre-feet,,,4883528.083,4773716.315,109811.7678,,,
2009,2,Non-potable Raw,800,,800,Acre-feet,,,260680.7544,0,260680.7544,,,
2010,2,Non-potable Raw,30009,11849,18160,Acre-feet,,,9778460.948,3861007.824,5917453.125,,,
2011,1,Potable Treated,69589,63549,6040,Acre-feet,,,22675641.27,20707501.58,1968139.696,,,
2011,2,Non-potable Raw,6517,5463,1054,Acre-feet,,,2123570.596,1780123.702,343446.8939,,,
2011,3,Non-potable Re-use,3401,3401,0,Acre-feet,,,1108219.057,1108219.057,0,,,
2017,1,Potable Treated,5582.69,5322,260.69,Acre-feet,,,1819124.801,1734178.719,84946.08233,,,
2017,2,Non-potable Raw,325.27,454,-128.73,Acre-feet,,,105989.5362,147936.3281,-41946.79189,,,
2020,1,Potable Treated,5607,9212,-3605,Acre-feet,,,1827046.237,3001738.887,-1174692.65,,,
2020,2,Non-potable Raw,362,297.04,64.96,Acre-feet,,,117958.0414,96790.76411,21167.27726,,,
2020,3,Non-potable Re-use,2062,2157.65,-95.6499,Acre-feet,,,671904.6445,703072.2872,-31167.61011,,,
2025,1,Potable Treated,17455,15528,1927,Acre-feet,,,5687728.21,5059813.443,627914.7672,,,
2030,2,Non-potable Raw,163,153.762,9.23801,Acre-feet,,,53113.70371,50103.4927,3010.21427,,,
2050,1,Potable Treated,4979.1,4546.27,432.83,Acre-feet,,,1622444.43,1481406.367,141038.0637,,,
2050,2,Non-potable Raw,0.2,0.17,0.03,Acre-feet,,,65.1701886,55.39466031,9.77552829,,,
2052,1,Potable Treated,3001,1778,1223,Acre-feet,,,977878.6799,579362.9767,398515.7033,,,
2052,2,Non-potable Raw,999,1031,-32,Acre-feet,,,325525.0921,335952.3222,-10427.23018,,,
2052,3,Non-potable Re-use,353,353.2,-0.200012,Acre-feet,,,115025.3829,115090.5531,-65.17409881,,,
2053,2,Non-potable Raw,39190,,39190,Acre-feet,,,12770098.46,0,12770098.46,,,
2053,3,Non-potable Re-use,12149,12149,0,Acre-feet,,,3958763.107,3958763.107,0,,,
2054,1,Potable Treated,13432,10923,2509,Acre-feet,,,4376829.866,3559269.85,817560.016,,,
2054,2,Non-potable Raw,800,,800,Acre-feet,,,260680.7544,0,260680.7544,,,
2056,2,Non-potable Raw,1547,,1547,Acre-feet,,,504091.4088,0,504091.4088,,,
2056,3,Non-potable Re-use,0,,0,Acre-feet,,,0,0,0,,,
2057,1,Potable Treated,5316,5370.86,-54.8599,Acre-feet,,,1732223.613,1750099.796,-17876.15015,,,
2057,2,Non-potable Raw,274,279.55,-5.54999,Acre-feet,,,89283.15838,91091.63112,-1808.469475,,,
2059,1,Potable Treated,174829,167756,7073,Acre-feet,,,56968194.51,54663450.79,2304743.72,,,
2059,2,Non-potable Raw,3408,3406,2,Acre-feet,,,1110500.014,1109848.312,651.701886,,,
2059,3,Non-potable Re-use,2001,2002,-1,Acre-feet,,,652027.7369,652353.5879,-325.850943,,,
2065,2,Non-potable Raw,0,0,0,Acre-feet,,,0,0,0,,,
2069,2,Non-potable Raw,1547,,1547,Acre-feet,,,504091.4088,0,504091.4088,,,
2070,1,Potable Treated,17727,15904,1823,Acre-feet,,,5776359.667,5182333.397,594026.2691,,,
2071,1,Potable Treated,14990,14677,313,Acre-feet,,,4884505.636,4782514.29,101991.3452,,,
2074,1,Potable Treated,66833,61296,5537,Acre-feet,,,21777596.07,19973359.4,1804236.671,,,
2074,2,Non-potable Raw,5200,5200,0,Acre-feet,,,1694424.904,1694424.904,0,,,
2074,3,Non-potable Re-use,3715,3715,0,Acre-feet,,,1210536.253,1210536.253,0,,,
2076,1,Potable Treated,5782,9130.59,-3348.59,Acre-feet,,,1884070.152,2975211.362,-1091141.209,,,
2076,2,Non-potable Raw,380,295.15,84.85,Acre-feet,,,123823.3583,96174.90583,27648.45251,,,
2076,3,Non-potable Re-use,2081,2126.94,-45.9399,Acre-feet,,,678095.8124,693065.4047,-14969.55974,,,
2085,1,Potable Treated,2425,2754.1,-329.1,Acre-feet,,,790188.5368,897426.0821,-107237.5453,,,
2085,2,Non-potable Raw,334,99.02,234.98,Acre-feet,,,108834.215,32265.76038,76568.45459,,,
2086,1,Potable Treated,3071,2810.98,260.02,Acre-feet,,,1000688.246,915960.4838,84727.7622,,,
2086,2,Non-potable Raw,293,132.59,160.41,Acre-feet,,,95474.3263,43204.57653,52269.74977,,,
2093,2,Non-potable Raw,519.8,402.26,117.54,Acre-feet,,,169377.3202,131076.8003,38300.51984,,,
2111,1,Potable Treated,19103,16835,2268,Acre-feet,,,6224730.564,5485700.625,739029.9387,,,
2117,1,Potable Treated,1912,,1912,Acre-feet,,,623027.003,0,623027.003,,,
2120,1,Potable Treated,189259,180587,8672,Acre-feet,,,61670223.62,58844444.24,2825779.378,,,
2120,2,Non-potable Raw,19090,19090,0,Acre-feet,,,6220494.502,6220494.502,0,,,
